ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
CHEB.U,CHENGHE ACQUISITION II CO,2016420,,NYSEMKT,False,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Singapore,5d4e27dc9ae7b9bb5e9273fe58a7170e
CHMI,CHERRY HILL MORTGAGE INVESTMENT CORP,1571776,164651101,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New Jersey; U.S.A,61bdcd46ee87bfcc37f31df0b1cb96e1
CIM,CHIMERA INVESTMENT CORP,1409493,16934Q208 16934Q109 16934Q802,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,01ea47e5f076c4023d4e121a08dc3a31
CIO,CITY OFFICE REIT INC,1593222,178587101,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Office,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,British Columbia; Canada,118076248b58461f32273f54db948f94
CION,CION INVESTMENT CORP,1534254,17259U204,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6799,Finance Insurance And Real Estate,Investors Nec,,Trading,USD,New York; U.S.A,3db82ffc6192c6af108c73d2e41d76cb
CLBR,COLOMBIER ACQUISITION CORP II,1995413,G2283U100,NYSE,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Florida; U.S.A,6ca6bcbc38457b93934fbffc3d4e989d
CLDT,CHATHAM LODGING TRUST,1476045,16208T102,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Hotel & Motel,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Florida; U.S.A,2ff1d292626408d72c9845f06525e5be
CLPR,CLIPPER REALTY INC,1649096,18885T306,NYSE,False,Domestic Common Stock,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,New York; U.S.A,5946b96601c99639ed8e17318bde296b
CNDA,CONCORD ACQUISITION CORP II,1851959,20607U108,NYSEMKT,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New York; U.S.A,66885f0fa77407f5504ceb7d1e57ad0b
CNS,COHEN & STEERS INC,1284812,19247A100,NYSE,False,Domestic Common Stock,Financial Services,Asset Management,6282,Finance Insurance And Real Estate,Investment Advice,,Trading,USD,New York; U.S.A,d0c9d72571c3dda7a12336973109bbda
COHN,COHEN & CO INC,1270436,45779L107 19249M102 867708109 014485106 19248U105,NYSEMKT,False,Domestic Common Stock,Financial Services,Capital Markets,6211,Finance Insurance And Real Estate,Security Brokers Dealers & Flotation Companies,,Trading,USD,Pennsylvania; U.S.A,59614a398a0dba2f1a3b02e15bd33306
COLD,AMERICOLD REALTY TRUST,1455863,03064D108,NYSE,False,Domestic Common Stock,Real Estate,REIT - Industrial,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Georgia; U.S.A,da3ca3426d39795a302446cf93b5011c
CPT,CAMDEN PROPERTY TRUST,906345,133131102,NYSE,False,Domestic Common Stock,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Texas; U.S.A,e4fe7e899216beaa691313502be2d746
CSR,CENTERSPACE,798359,461730103 15202L107 461730509,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Residential,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,North Dakota; U.S.A,1255c2fa5037b8c2a6b87fbb2f6280eb
CTRE,CARETRUST REIT INC,1590717,14174T107,NYSE,False,Domestic Common Stock,Real Estate,REIT - Healthcare Facilities,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,07ac4fac552870b6f5f74d3c079c3c5d
CUBE,CUBESMART,1298675,229663109 91274F104,NYSE,False,Domestic Common Stock Primary Class,Real Estate,REIT - Industrial,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Pennsylvania; U.S.A,2b655a7c3c1c1fb160564074359ae9f6
