ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
POOL,POOL CORP,945841,73278L105 784028102,NASDAQ,False,Domestic Common Stock,Industrials,Industrial Distribution,5090,Wholesale Trade,Wholesale-Misc Durable Goods,,Wholesale,USD,Louisiana; U.S.A,8b2b1235ae97b87868b0d974fd5638b2
RAVE,RAVE RESTAURANT GROUP INC,718332,754198109 725846109 725848105,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5140,Wholesale Trade,Wholesale-Groceries & Related Products,,Wholesale,USD,Texas; U.S.A,5365bdd9db71a265c1bb1952051c29e2
RDUS,RADIUS RECYCLING,912603,806882106,NASDAQ,False,Domestic Common Stock,Basic Materials,Steel,5090,Wholesale Trade,Wholesale-Misc Durable Goods,,Wholesale,USD,Oregon; U.S.A,96d914ba1628b903d2a3c34ec1a94c24
RELL,RICHARDSON ELECTRONICS LTD,355948,763165107,NASDAQ,False,Domestic Common Stock,Technology,Electronic Components,5065,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,,Wholesale,USD,Illinois; U.S.A,6e61fe7a0066895a6b6d545daf931a42
SCSC,SCANSOURCE INC,918965,806037107,NASDAQ,False,Domestic Common Stock,Technology,Electronics & Computer Distribution,5045,Wholesale Trade,Wholesale-Computers & Peripheral Equipment & Software,,Wholesale,USD,South Carolina; U.S.A,0b4341969d1c0b2f38b454d3bb3fa498
SGBX,SAFE & GREEN HOLDINGS CORP,1023994,78418A505 78418A307 78418A604,NASDAQ,False,Domestic Common Stock,Industrials,Metal Fabrication,5030,Wholesale Trade,Wholesale-Lumber & Other Construction Materials,,Wholesale,USD,New York; U.S.A,9b90533bb903b97db64f07f0e43d09b2
SPTN,SPARTANNASH CO,877422,847215100 846822104,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Food Distribution,5141,Wholesale Trade,Wholesale-Groceries General Line,,Wholesale,USD,Michigan; U.S.A,8473085fa2b7e1685aceec3e985832fd
STKL,SUNOPTA INC,351834,8676EP108 852559103,NASDAQ,False,Domestic Common Stock,Consumer Defensive,Packaged Foods,5150,Wholesale Trade,Wholesale-Farm Product Raw Materials,,Wholesale,USD,Ontario; Canada,20bc1fada8e49d6aa48932c3bba7719e
TAIT,TAITRON COMPONENTS INC,942126,874028103,NASDAQ,False,Domestic Common Stock,Technology,Electronics & Computer Distribution,5065,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,,Wholesale,USD,California; U.S.A,1e3eba39b23e58f8e90a3004d0a70ace
UGRO,URBAN-GRO INC,1706524,91704K202 91704K103,NASDAQ,False,Domestic Common Stock,Industrials,Farm & Heavy Construction Machinery,5080,Wholesale Trade,Wholesale-Machinery Equipment & Supplies,,Wholesale,USD,Colorado; U.S.A,7a80d221df589ee4fd91006fc57f4cde
VOXX,VOXX INTERNATIONAL CORP,807707,91829F104 050757103,NASDAQ,False,Domestic Common Stock,Technology,Consumer Electronics,5065,Wholesale Trade,Wholesale-Electronic Parts & Equipment Nec,,Wholesale,USD,New York; U.S.A,dcb712425134ec7b2a3aee15c0dbad0a
