ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
SLNA,SELINA HOSPITALITY PLC,1909417,05601A109 G8059B101,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,United Kingdom,183af29be3e431842b71eddb622f2fbd
SOND,SONDER HOLDINGS INC,1819395,83542D102 382873107 83542D300,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Lodging,7000,Services,Hotels Rooming Houses Camps & Other Lodging Places,,Restaraunts Hotels Motels,USD,California; U.S.A,8976d7084603e5040027e6ec8b416012
STKS,ONE GROUP HOSPITALITY INC,1399520,88338K103 20261V103 20261V202 88338K202,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,New York; U.S.A,618d9c12a39378fdebe664329d37084c
TH,TARGET HOSPITALITY CORP,1712189,87615L107 G7126L126 G7126L100 727653107 727653206,NASDAQ,False,Domestic Common Stock Primary Class,Industrials,Specialty Business Services,7000,Services,Hotels Rooming Houses Camps & Other Lodging Places,,Restaraunts Hotels Motels,USD,Texas; U.S.A,45be5d330025de3320dda4b0689dc95f
THCH,TH INTERNATIONAL LTD,1877333,G81355102 G8656L106,NASDAQ,False,ADR Common Stock Primary Class,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,New York; U.S.A,5458780b16489704bf6db9edb0633b80
TXRH,TEXAS ROADHOUSE INC,1289460,882681109,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Kentucky; U.S.A,7343cd9839fac75eb43f5077dd61c07c
WEN,WENDY'S CO,30697,95058W100 950587105 895927101,NASDAQ,False,Domestic Common Stock Primary Class,Consumer Cyclical,Restaurants,5810,Retail Trade,Retail-Eating & Drinking Places,,Restaraunts Hotels Motels,USD,Ohio; U.S.A,589624c25a719433b42f4e57093baa45
WING,WINGSTOP INC,1636222,974155103,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Texas; U.S.A,d10fb462e5007ab9081d298c6a3c343e
WYNN,WYNN RESORTS LTD,1174922,983134107,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Nevada; U.S.A,f3b21ba7333341c1db1e3bc7d63289dd
YOSH,YOSHIHARU GLOBAL CO,1898604,98740Y104 98740Y302,NASDAQ,False,Domestic Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,408050c4e38da789e177a8d48d71161e
BFIIW,BURGERFI INTERNATIONAL INC,1723580,12122L119 68373P118,NASDAQ,False,Domestic Common Stock Warrant,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Florida; U.S.A,cb511f0b51238dcd82ccafc29315252a
BTBDW,BT BRANDS INC,1718224,0557MQ115,NASDAQ,False,Domestic Common Stock Warrant,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,North Dakota; U.S.A,73250059c656436b3ae26fb41ceb597c
FATBB,FAT BRANDS INC,1705012,30258N600,NASDAQ,False,Domestic Common Stock Secondary Class,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,dfcecd41309299333c55e437e541c6eb
FATBP,FAT BRANDS INC,1705012,30258N501,NASDAQ,False,Domestic Preferred Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,43f458017c98e2667aa3f9d0850a367c
FATBW,FAT BRANDS INC,1705012,30258N121,NASDAQ,False,Domestic Common Stock Warrant,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,California; U.S.A,00d67d8a37d18ad6ada1609438a0e157
MRNOW,MURANO GLOBAL INVESTMENTS LTD,1988776,G4365A127 G63369113,NASDAQ,False,ADR Common Stock Warrant,Real Estate,Real Estate - Development,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Mexico,7bae0958ccd8eee8f8bc17c29ea63f2b
SLNAW,SELINA HOSPITALITY PLC,1909417,05601A117 G8059B119,NASDAQ,False,ADR Common Stock Warrant,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,United Kingdom,e5ca53e7cd972a2b452e70e2036cef75
SONDW,SONDER HOLDINGS INC,1819395,382873115 83542D110,NASDAQ,False,Domestic Common Stock Warrant,Consumer Cyclical,Lodging,7000,Services,Hotels Rooming Houses Camps & Other Lodging Places,,Restaraunts Hotels Motels,USD,California; U.S.A,5f83639a39e6540eb32273e4dfbbbb90
ARCO,ARCOS DORADOS HOLDINGS INC,1508478,G0457F107,NYSE,False,ADR Common Stock,Consumer Cyclical,Restaurants,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Uruguay,9e79d482a0ead53e821c101fb9c0f802
ARMK,ARAMARK,1584509,03852U106,NYSE,False,Domestic Common Stock,Industrials,Specialty Business Services,5812,Retail Trade,Retail-Eating  Places,,Restaraunts Hotels Motels,USD,Pennsylvania; U.S.A,09949652ef1b7b1fd22ce3348e1d0f02
