ticker,name,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
FSM,FORTUNA SILVER MINES INC,1341335,349915108,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,13547236f10dcd1cbf984763d4bca0f9
GFI,GOLD FIELDS LTD,1172724,38059T106,NYSE,False,ADR Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,South Africa,44b5bb52effce181dfab112331e713da
FURY,FURY GOLD MINES LTD,1514597,36117T100 05208W108,NYSEMKT,False,Canadian Common Stock,Basic Materials,Other Industrial Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,98779d5ef990102127549c3e7736d4f3
GATO,GATOS SILVER INC,1517006,368036109,NYSE,False,Domestic Common Stock,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Colorado; U.S.A,d7d6812b6370196c71f7d2430fca042f
GLDG,GOLDMINING INC,1538847,38149E101,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,8e54cae5f07f396ac818c8f8e4e04ff7
GOLD,BARRICK GOLD CORP,756894,067901108,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,caa5a13ccbafa4862fbd7c370b1272a6
GORO,GOLD RESOURCE CORP,1160791,38068T105,NYSEMKT,False,Domestic Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Colorado; U.S.A,3b36b1b2bc2efedd3f8ad1da1b0cdec0
GROY,GOLD ROYALTY CORP,1834026,38071H106,NYSEMKT,False,ADR Common Stock Primary Class,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,89b4495d0ccc6e3b2ec5cb6d3cad4125
IAG,IAMGOLD CORP,1203464,450913108,NYSE,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,01f8b9d8294f5f6d7fe742340558d248
IAUX,I-80 GOLD CORP,1853962,44955L106,NYSEMKT,False,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Nevada; U.S.A,4ab15917c4b2d9b2c9ee6bbf801362fc
