,mkt_cap,stock_info
ARLP,2311519002.2964478,"{'name': 'ALLIANCE RESOURCE PARTNERS LP', 'ticker': 'ARLP', 'cik': '1086600', 'cusip': '01877R108', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Thermal Coal', 'sic': '1221', 'sicSector': 'Mining', 'sicIndustry': 'Bituminous Coal & Lignite Surface Mining', 'famaSector': '', 'famaIndustry': 'Coal', 'currency': 'USD', 'location': 'Oklahoma; U.S.A', 'id': '6c212f2f3c548059c8d6b668bd900265'}"
METC,373140475.5081177,"{'name': 'RAMACO RESOURCES INC', 'ticker': 'METC', 'cik': '1687187', 'cusip': '75134P303 75134P600', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Primary Class', 'sector': 'Basic Materials', 'industry': 'Coking Coal', 'sic': '1220', 'sicSector': 'Mining', 'sicIndustry': 'Bituminous Coal & Lignite Mining', 'famaSector': '', 'famaIndustry': 'Coal', 'currency': 'USD', 'location': 'Kentucky; U.S.A', 'id': 'f03eb7d5159076008413fbca879ca25b'}"
HNRG,311769026.8249512,"{'name': 'HALLADOR ENERGY CO', 'ticker': 'HNRG', 'cik': '788965', 'cusip': '40609P105 406092304', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock', 'sector': 'Basic Materials', 'industry': 'Thermal Coal', 'sic': '1220', 'sicSector': 'Mining', 'sicIndustry': 'Bituminous Coal & Lignite Mining', 'famaSector': '', 'famaIndustry': 'Coal', 'currency': 'USD', 'location': 'Indiana; U.S.A', 'id': '3a7c249cdff8e2e965611177414e6363'}"
METCB,94172673.77336502,"{'name': 'RAMACO RESOURCES INC', 'ticker': 'METCB', 'cik': '1687187', 'cusip': '75134P501', 'exchange': 'NASDAQ', 'isDelisted': False, 'category': 'Domestic Common Stock Secondary Class', 'sector': 'Basic Materials', 'industry': 'Coking Coal', 'sic': '1220', 'sicSector': 'Mining', 'sicIndustry': 'Bituminous Coal & Lignite Mining', 'famaSector': '', 'famaIndustry': 'Coal', 'currency': 'USD', 'location': 'Kentucky; U.S.A', 'id': 'ca057c84f212245f815a979a2c0601cf'}"
